Senior Citizen,Partner,Dependents,Tenure Months,Paperless Billing,Monthly Charges,Churn Value,Internet Service_Fiber optic,Internet Service_No,Online Security_Yes,Online Backup_Yes,Device Protection_Yes,Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Sum Of Additional Services,Tenure Category_Loyal Customers,Monthly Charges to Tenure Ratio,Has No Long Term Contract,Is Manual Payment
0,0,0,2,1,53.85,1,False,False,True,True,False,False,False,False,2,False,17.95,1,1
0,0,1,2,1,70.7,1,True,False,False,False,False,False,False,False,0,False,23.566666666666666,1,1
0,0,1,8,1,99.65,1,True,False,False,False,True,False,True,True,3,False,11.072222222222223,1,1
0,1,1,28,1,104.8,1,True,False,False,False,True,True,True,True,4,True,3.613793103448276,1,1
0,0,1,49,1,103.7,1,True,False,False,True,True,False,True,True,4,True,2.074,1,0
0,1,0,10,0,55.2,1,False,False,False,False,True,True,False,False,2,False,5.0181818181818185,1,0
1,0,0,1,1,39.65,1,False,False,False,False,True,False,False,True,2,False,19.825,1,1
0,0,0,1,0,20.15,1,False,True,False,False,False,False,False,False,0,False,10.075,1,1
0,1,1,47,1,99.35,1,True,False,False,True,False,False,True,True,3,True,2.0697916666666667,1,1
0,1,0,1,0,30.2,1,False,False,False,True,False,False,False,False,1,False,15.1,1,1
0,0,0,17,1,64.7,1,False,False,False,False,False,False,True,True,2,True,3.5944444444444446,1,1
0,0,1,5,1,69.7,1,True,False,False,False,False,False,False,False,0,False,11.616666666666667,1,1
0,0,1,34,1,106.35,1,True,False,False,True,True,False,True,True,4,True,3.0385714285714283,1,1
0,0,1,11,1,97.85,1,True,False,False,False,True,False,True,True,3,False,8.154166666666667,1,0
0,0,1,2,1,80.65,1,True,False,False,False,False,False,True,False,1,False,26.883333333333336,1,1
0,0,1,15,1,99.1,1,True,False,True,True,False,False,True,True,4,True,6.19375,1,0
1,1,1,8,1,80.65,1,True,False,False,True,False,False,False,False,1,False,8.961111111111112,1,0
1,0,1,18,1,95.45,1,True,False,False,False,False,False,True,True,2,True,5.023684210526316,1,1
0,0,1,9,0,94.4,1,True,False,False,False,False,False,True,True,2,False,9.440000000000001,1,1
0,0,1,1,1,79.35,1,True,False,False,False,False,False,True,False,1,False,39.675,1,1
0,1,1,7,1,75.15,1,True,False,False,False,True,False,False,False,1,False,9.39375,1,0
0,0,1,12,1,78.95,1,True,False,True,False,False,False,False,False,1,True,6.073076923076924,1,1
0,0,0,5,0,21.05,1,False,True,False,False,False,False,False,False,0,False,3.5083333333333333,1,1
1,1,1,25,1,98.5,1,True,False,False,True,True,False,True,True,4,True,3.7884615384615383,1,1
0,1,0,68,1,110.0,1,True,False,False,True,True,True,True,True,5,True,1.5942028985507246,0,0
0,1,1,55,1,96.75,1,True,False,True,True,False,False,True,False,3,True,1.7276785714285714,1,1
1,1,1,37,1,76.5,1,True,False,False,False,False,False,False,False,0,True,2.013157894736842,1,1
0,1,1,10,1,100.25,1,True,False,True,False,False,False,True,True,3,False,9.113636363636363,1,1
0,0,1,3,1,74.4,1,True,False,False,False,False,False,False,False,0,False,18.6,1,1
1,0,1,27,1,78.05,1,True,False,False,False,True,False,False,False,1,True,2.7875,1,1
0,1,0,25,1,58.6,1,False,False,True,True,True,False,True,True,5,True,2.253846153846154,1,0
