Index,Churn Reason,Churn Score,Churn Value,City,CLTV,Contract,Dependents,Device Protection,Gender,Internet Service,Is Manual Payment Method,Lat Long,Latitude,Longitude,Monthly Charges,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Sum Of Additional Services,Tech Support,Tenure Category,Tenure Months,Total Charges,Zip Code
1,Competitor made better offer,86,1,Los Angeles,3239,Month-to-month,No,No,Male,DSL,Yes,"33.964131, -118.272783",33.964131,-118.272783,53.85,No,Yes,Yes,Yes,No,Mailed check,Yes,No,No,No,2,No,New Customers,2,108.15,90003
2,Moved,67,1,Los Angeles,2701,Month-to-month,Yes,No,Female,Fiber optic,Yes,"34.059281, -118.30742",34.059281,-118.30742,70.7,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,2,151.65,90005
3,Moved,86,1,Los Angeles,5372,Month-to-month,Yes,Yes,Female,Fiber optic,Yes,"34.048013, -118.293953",34.048013,-118.293953,99.65,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,3,No,New Customers,8,820.5,90006
4,Moved,84,1,Los Angeles,5003,Month-to-month,Yes,Yes,Female,Fiber optic,Yes,"34.062125, -118.315709",34.062125,-118.315709,104.8,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,4,Yes,established customers,28,3046.05,90010
5,Competitor had better devices,89,1,Los Angeles,5340,Month-to-month,Yes,Yes,Male,Fiber optic,No,"34.039224, -118.266293",34.039224,-118.266293,103.7,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,4,No,Loyal Customers,49,5036.3,90015
6,Competitor offered higher download speeds,78,1,Los Angeles,5925,Month-to-month,No,Yes,Female,DSL,No,"34.066367, -118.309868",34.066367,-118.309868,55.2,No,No,No,No,Yes,Credit card (automatic),Yes,No,No,No,2,Yes,New Customers,10,528.35,90020
7,Competitor offered more data,100,1,Los Angeles,5433,Month-to-month,No,Yes,Male,DSL,Yes,"34.02381, -118.156582",34.02381,-118.156582,39.65,No phone service,No,No,Yes,No,Electronic check,No,Yes,Yes,No,2,No,New Customers,1,39.65,90022
8,Competitor made better offer,92,1,Los Angeles,4832,Month-to-month,No,No internet service,Male,No,Yes,"34.066303, -118.435479",34.066303,-118.435479,20.15,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,20.15,90024
9,Competitor had better devices,77,1,Los Angeles,5789,Month-to-month,Yes,No,Male,Fiber optic,Yes,"34.099869, -118.326843",34.099869,-118.326843,99.35,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,3,No,established customers,47,4749.15,90028
10,Competitor had better devices,97,1,Los Angeles,2915,Month-to-month,No,No,Male,DSL,Yes,"34.089953, -118.294824",34.089953,-118.294824,30.2,No phone service,Yes,No,No,Yes,Electronic check,No,No,No,No,1,No,New Customers,1,30.2,90029
